Fecha,Título,Lugar,Descripción,Enlace,Imagen,Hora,Modalidad
01/03/2026,Podcast - La revolución del Amor Epis. 1,online Youtube y Spotifive,"E Evolucion del Amor Potcast Es una espacio de frecuencia , la Frecuencia del Corazón Es un espacio para almas altamente sensibles, seres despiertas y guardianas de la frecuencia que sienten el llamado de vivir desde una nueva conciencia. Aquí hablamos de alta sensibilidad en la sociedad moderna, del despertar femenino, de la energía de los niños, del arte, la música y el canto como servicio del alma. Exploramos el cambio de vibración que nuestros cuerpos-templo están integrando y cómo encarnar el amor en lo cotidiano. Comparto mi camino como guardiana de la frecuencia, la creación de Rosas Alquímicas y la importancia de volver a amar la vida, disfrutar el presente y honrar el tiempo de calidad. Este podcast es un recordatorio de quiénes somos cuando vivimos desde el corazón. Rosas Alquimicas un Santuario Digital para acompañarte a REcordar en esta nueva Era",,https://i.ibb.co/fd4914qq/photo-5100585453315886185-y.jpg,11:00 AM (Argentina),Online
08/03/2026,Podcast - La revolución del Amor Epis. 2,online Youtube y Spotifive,"RE Evolucion del Amor Potcast Es una espacio de frecuencia , la Frecuencia del Corazón Es un espacio para almas altamente sensibles, seres despiertas y guardianas de la frecuencia que sienten el llamado de vivir desde una nueva conciencia. Aquí hablamos de alta sensibilidad en la sociedad moderna, del despertar femenino, de la energía de los niños, del arte, la música y el canto como servicio del alma. Exploramos el cambio de vibración que nuestros cuerpos-templo están integrando y cómo encarnar el amor en lo cotidiano. Comparto mi camino como guardiana de la frecuencia, la creación de Rosas Alquímicas y la importancia de volver a amar la vida, disfrutar el presente y honrar el tiempo de calidad. Este podcast es un recordatorio de quiénes somos cuando vivimos desde el corazón. Rosas Alquimicas un Santuario Digital para acompañarte a REcordar en esta nueva Era",https://www.youtube.com/watch?v=SUHyvbeNeJ0&list=PLwfH6nfCiKFqZp3oiT6Zksssk7mfdPLIV&index=4,https://i.ibb.co/fd4914qq/photo-5100585453315886185-y.jpg,11:00 AM (Argentina),Online
15/03/2026,Podcast - La revolución del Amor Epis. 3,online Youtube y Spotifive,"RE Evolucion del Amor Potcast Es una espacio de frecuencia , la Frecuencia del Corazón Es un espacio para almas altamente sensibles, seres despiertas y guardianas de la frecuencia que sienten el llamado de vivir desde una nueva conciencia. Aquí hablamos de alta sensibilidad en la sociedad moderna, del despertar femenino, de la energía de los niños, del arte, la música y el canto como servicio del alma. Exploramos el cambio de vibración que nuestros cuerpos-templo están integrando y cómo encarnar el amor en lo cotidiano. Comparto mi camino como guardiana de la frecuencia, la creación de Rosas Alquímicas y la importancia de volver a amar la vida, disfrutar el presente y honrar el tiempo de calidad. Este podcast es un recordatorio de quiénes somos cuando vivimos desde el corazón. Rosas Alquimicas un Santuario Digital para acompañarte a REcordar en esta nueva Era",https://www.youtube.com/watch?v=n6tH28FDJz4&list=PLwfH6nfCiKFqZp3oiT6Zksssk7mfdPLIV&index=6,https://i.ibb.co/fd4914qq/photo-5100585453315886185-y.jpg,11:00 AM (Argentina),Online
22/03/2026,Podcast - La revolución del Amor Epis. 4,online Youtube y Spotifive,"RE Evolucion del Amor Potcast Es una espacio de frecuencia , la Frecuencia del Corazón Es un espacio para almas altamente sensibles, seres despiertas y guardianas de la frecuencia que sienten el llamado de vivir desde una nueva conciencia. Aquí hablamos de alta sensibilidad en la sociedad moderna, del despertar femenino, de la energía de los niños, del arte, la música y el canto como servicio del alma. Exploramos el cambio de vibración que nuestros cuerpos-templo están integrando y cómo encarnar el amor en lo cotidiano. Comparto mi camino como guardiana de la frecuencia, la creación de Rosas Alquímicas y la importancia de volver a amar la vida, disfrutar el presente y honrar el tiempo de calidad. Este podcast es un recordatorio de quiénes somos cuando vivimos desde el corazón. Rosas Alquimicas un Santuario Digital para acompañarte a REcordar en esta nueva Era",https://www.youtube.com/watch?v=75VJLFIQbVI&list=PLwfH6nfCiKFqZp3oiT6Zksssk7mfdPLIV&index=5,https://i.ibb.co/fd4914qq/photo-5100585453315886185-y.jpg,11:00 AM (Argentina),Online
29/03/2026,Podcast - La revolución del Amor Epis. 5,online Youtube y Spotifive,"a RE Evolucion del Amor Potcast Es una espacio de frecuencia , la Frecuencia del Corazón Es un espacio para almas altamente sensibles, seres despiertas y guardianas de la frecuencia que sienten el llamado de vivir desde una nueva conciencia. Aquí hablamos de alta sensibilidad en la sociedad moderna, del despertar femenino, de la energía de los niños, del arte, la música y el canto como servicio del alma. Exploramos el cambio de vibración que nuestros cuerpos-templo están integrando y cómo encarnar el amor en lo cotidiano. Comparto mi camino como guardiana de la frecuencia, la creación de Rosas Alquímicas y la importancia de volver a amar la vida, disfrutar el presente y honrar el tiempo de calidad. Este podcast es un recordatorio de quiénes somos cuando vivimos desde el corazón. Rosas Alquimicas un Santuario Digital para acompañarte a REcordar en esta nueva Era",https://www.youtube.com/watch?v=9tVtOWwQFqA&list=PLwfH6nfCiKFqZp3oiT6Zksssk7mfdPLIV&index=3,https://i.ibb.co/fd4914qq/photo-5100585453315886185-y.jpg,11:00 AM (Argentina),Online
05/04/2026,Podcast - La revolución del Amor Epis. 6,online Youtube y Spotifive,"La RE Evolucion del Amor Potcast Es una espacio de frecuencia , la Frecuencia del Corazón Es un espacio para almas altamente sensibles, seres despiertas y guardianas de la frecuencia que sienten el llamado de vivir desde una nueva conciencia. Aquí hablamos de alta sensibilidad en la sociedad moderna, del despertar femenino, de la energía de los niños, del arte, la música y el canto como servicio del alma. Exploramos el cambio de vibración que nuestros cuerpos-templo están integrando y cómo encarnar el amor en lo cotidiano. Comparto mi camino como guardiana de la frecuencia, la creación de Rosas Alquímicas y la importancia de volver a amar la vida, disfrutar el presente y honrar el tiempo de calidad. Este podcast es un recordatorio de quiénes somos cuando vivimos desde el corazón. Rosas Alquimicas un Santuario Digital para acompañarte a REcordar en esta nueva Era https://rosasalquimicas.netlify.app/",https://www.youtube.com/watch?v=rIhDb58JyJQ&list=PLwfH6nfCiKFqZp3oiT6Zksssk7mfdPLIV&index=2,https://i.ibb.co/fd4914qq/photo-5100585453315886185-y.jpg,11:00 AM (Argentina),Online
11/04/2026,Taller Desmagnetización Cuántica,,Valor: 55 USD/ 33.000 ARS,https://rosasalquimicas.netlify.app/taller-desmagnetizacion-cuantica,https://i.ibb.co/CsP7TKHg/photo-5100585453315886186-y.jpg,"9:00 AM (Argentina), 14:00 PM (España)",Online
12/04/2026,Podcast - La revolución del Amor Epis 7,online Youtube y Spotifive,"La RE Evolucion del Amor Potcast Es una espacio de frecuencia , la Frecuencia del Corazón Es un espacio para almas altamente sensibles, seres despiertas y guardianas de la frecuencia que sienten el llamado de vivir desde una nueva conciencia. Aquí hablamos de alta sensibilidad en la sociedad moderna, del despertar femenino, de la energía de los niños, del arte, la música y el canto como servicio del alma. Exploramos el cambio de vibración que nuestros cuerpos-templo están integrando y cómo encarnar el amor en lo cotidiano. Comparto mi camino como guardiana de la frecuencia, la creación de Rosas Alquímicas y la importancia de volver a amar la vida, disfrutar el presente y honrar el tiempo de calidad. Este podcast es un recordatorio de quiénes somos cuando vivimos desde el corazón. Rosas Alquimicas un Santuario Digital para acompañarte a REcordar en esta nueva Era https://rosasalquimicas.netlify.app/",https://www.youtube.com/watch?v=7EUkf8yGoKY&list=PLwfH6nfCiKFqZp3oiT6Zksssk7mfdPLIV&index=1&t=830s,https://i.ibb.co/fd4914qq/photo-5100585453315886185-y.jpg,11:00 AM (Argentina),Online
12/04/2026,Labor planetaria Buenos aires CABA,Buenos aires,"Siguiendo el camino de la Rosa, este encuentro fue en unidad  a la REd Dinerhet de Camilo Guirado, En nuestro caso la REd de Rosas crital aporto una reconfiguracion que se cerro para abrir la nueva frecuenia de los lugares centrales , Cabildo CAsa Rosada Catedral y obelisco, un llamado de las madres estelares pleyadianas conjuntamente con los reinos de GAia Devas luminosos en honra y gratitud a poder de nuetro masculino sagrado , Muy hermosa la energia Fuerte y muy agradecida a la union de las redes , Asi cada integrante da su aporte al plan mayor, En la foto puedes ver la labor, y eso requiere su anclaje que es muy rapido hoy muchas gracias a todos A seguir en la siembra de Rosas manteniendo la frecuencia Gratitud a todos y cada uno",,https://i.ibb.co/HTy6PJ5R/photo-5181927164624964974-x.jpg,15.55 pm Argentina,Presencial
15/04/2026,Sesión grupal - Danzas espiraladas,,Sesión grupal online de danzas espiraladas.,,https://i.ibb.co/tTP3N73N/IMG-20221128-163235-867.jpg,11:00 AM (Argentina),Online
